unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
18928,cydno,cydno cydnides Heliconius,,,,macho,Cali COL VC,,,m,,,,,FLMNH,,Samuel Landrian,,3.45,-76.51666667,Brown
18929,cydno,cydno cydnides Heliconius,,,,hembra,Cali COL VC,,,m,8,Jul,1973,,FLMNH,,Samuel Landrian,,3.45,-76.51666667,Brown
18930,cydno,cydno cydnides Heliconius,,,,hembra,Calima Rio COL VC,,,m,,,1983,,FLMNH,,Samuel Landrian,,3.933333333,-76.51666667,Brown
18931,cydno,cydno cydnides Heliconius,,,,macho,Calima Rio COL VC,,,m,,,1983,,FLMNH,,Samuel Landrian,,3.933333333,-76.51666667,Brown
18932,cydno,cydno cydnides Heliconius,,,,macho,Dagua Rio COL VC,,,m,,,,,FLMNH,,Samuel Landrian,,3.55,-76.65,Brown
18933,cydno,cydno cydnides Heliconius,,,,macho,Cali COL VC,,,m,15,Jul,1973,,FLMNH,,Samuel Landrian,,3.45,-76.51666667,Brown
18934,cydno,cydno cydnides Heliconius,,,,hembra,Dagua Rio COL VC,,,m,,,,,FLMNH,,Samuel Landrian,,3.55,-76.65,Brown
18935,cydno,cydno cydnides Heliconius,,,,macho,Cali COL VC,,,m,3,Mar,1974,,FLMNH,,Samuel Landrian,,3.45,-76.51666667,Brown
18936,cydno,cydno cydnides Heliconius,,,,macho,El Aguila COL VA,,,m,,Oct,1988,Salazar,FLMNH,,Samuel Landrian,,4.909166667,-76.04305556,Geonames
18937,cydno,cydno cydnides Heliconius,,,,macho,Guacaica Rio COL CA,,,m,,Aug,1993,Salazar,FLMNH,,Samuel Landrian,,5.106858333,-75.61037222,google Earth
18938,cydno,cydno cydnides Heliconius,,,,hembra,Guacaica Rio COL CA,,,m,,Aug,1993,Salazar,FLMNH,,Samuel Landrian,,5.106858333,-75.61037222,google Earth
