unique_registros_ID,species,taxon_nombre,status_type,nombre_type,comentarios,sexo,localidad_codigo,elev_min_etiq,elev_max_etiq,elev_unidad,dia,mes,ano,colector,coleccion,fecha,digitador,duplicate,lat_dec,lon_dec,latlong_fuente
9312,cydno,cydno zelinde Heliconius,,,,macho,Calima Valley 45km w of Buga COL VC,1200,1200,m,,8,1989,,MGCL/FLMNH,,NEIL ROSSER,,3.899233333,-76.62986944,Google Earth
9313,cydno,cydno zelinde Heliconius,,,,hembra,Calima COL VC,,,m,,4,1993,"Simon, M.",MGCL/FLMNH,,NEIL ROSSER,,3.933333333,-76.51666667,www.calle.com
9314,cydno,cydno zelinde Heliconius,,,,macho,Calima Dam COL VC,5000,5000,ft,6,12,1975,"Sullivan, J.B.",MGCL/FLMNH,,NEIL ROSSER,,3.89205,-76.500779,Google Earth
9315,cydno,cydno zelinde Heliconius,,,,macho,"Rodea, Iscuande COL NA",,,m,23,8,1977,"Hutchings, R.W.",MGCL/FLMNH,,NEIL ROSSER,,2.444983333,-77.97110278,Google Earth
9317,cydno,cydno zelinde Heliconius,,,,hembra,Bravo Rio COL,,,m,,10,1984,,MGCL/FLMNH,,NEIL ROSSER,,3.893055556,-76.62166667,NIMA
9318,cydno,cydno zelinde Heliconius,,,,macho,Calima rio below dam COL VC,1300,1300,m,24,1,1976,"Steinhauser, S. & L.",MGCL/FLMNH,,NEIL ROSSER,,3.883333333,-76.6,Brown
16010,cydno,cydno zelinde Heliconius,,,,unknown,Calima - Tal COL VC,,,m,,,,,FLMNH (not labelled) - Accessions (2nd floor),,NEIL ROSSER,,3.89205,-76.500779,Brown
16011,cydno,cydno zelinde Heliconius,,,,unknown,Cosumbo River x Pital River COL VC,900,900,m,,,,,FLMNH (not labelled) - Accessions (2nd floor),,NEIL ROSSER,,,,unknown
18728,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18751,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18752,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18753,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Jan,1991,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18754,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18755,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18756,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18757,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18758,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18759,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18760,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18761,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18762,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18763,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18764,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18765,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18766,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18767,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18768,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18769,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18770,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18771,cydno,cydno zelinde Heliconius,,,,macho,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18772,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18773,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18774,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18775,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18776,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18777,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18778,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18779,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18780,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18781,cydno,cydno zelinde Heliconius,,,,hembra,Rio Calima Near Rio Bravo COL VC,,,m,,May-Aug,1988,,FLMNH,,Samuel Landrian,,3.907455556,-76.62491111,Geonames + Google Earth
18782,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
18783,cydno,cydno zelinde Heliconius,,,,hembra,Palestina 3km downstream-Choco COL,,,m,,Aug,1988,,FLMNH,,Samuel Landrian,,4.179363889,-77.13299167,Geonames + Google Earth
